Architecture,Source,Target,Table,Config,F1
kan,CICIDS2018,ToN-IoT,T3-trainable,Spline-only,0.7870815373099657
kan,CICIDS2018,ToN-IoT,T3-trainable,Splines + norm,0.7929803390439756
kan,CICIDS2018,ToN-IoT,T3-trainable,Splines + classifier,0.7893475483730253
kan,CICIDS2018,ToN-IoT,T3-trainable,Splines + norm + classifier,0.78971764169705
kan,CICIDS2018,ToN-IoT,T3-trainable,Last KAN layer (incl. base path),0.8000120207069744
kan,CICIDS2018,ToN-IoT,T3-trainable,Norm + classifier + last layer,0.7992868610539797
kan,CICIDS2018,ToN-IoT,T4-loss,CE + ent + recon,0.7856224904775102
kan,CICIDS2018,ToN-IoT,T4-loss,CE + ent only,0.7891802553627338
kan,CICIDS2018,ToN-IoT,T4-loss,CE + recon only,0.7941768484211336
kan,CICIDS2018,ToN-IoT,T4-loss,CE only,0.794229168830536
kan,CICIDS2018,ToN-IoT,T4-loss,ent only (TENT-like),0.6069046441088021
kan,CICIDS2018,UNSW-NB15,T3-trainable,Spline-only,0.7424393901524619
kan,CICIDS2018,UNSW-NB15,T3-trainable,Splines + norm,0.6985112885734004
kan,CICIDS2018,UNSW-NB15,T3-trainable,Splines + classifier,0.7210215920388405
kan,CICIDS2018,UNSW-NB15,T3-trainable,Splines + norm + classifier,0.8345368269032392
kan,CICIDS2018,UNSW-NB15,T3-trainable,Last KAN layer (incl. base path),0.8480029815516492
kan,CICIDS2018,UNSW-NB15,T3-trainable,Norm + classifier + last layer,0.8570545765400184
kan,CICIDS2018,UNSW-NB15,T4-loss,CE + ent + recon,0.7489711085209749
kan,CICIDS2018,UNSW-NB15,T4-loss,CE + ent only,0.6884127491738621
kan,CICIDS2018,UNSW-NB15,T4-loss,CE + recon only,0.6218824106631777
kan,CICIDS2018,UNSW-NB15,T4-loss,CE only,0.6207278067228581
kan,CICIDS2018,UNSW-NB15,T4-loss,ent only (TENT-like),0.00036938855330059534
kan,ToN-IoT,CICIDS2018,T3-trainable,Spline-only,0.8348973218805242
kan,ToN-IoT,CICIDS2018,T3-trainable,Splines + norm,0.824873292539712
kan,ToN-IoT,CICIDS2018,T3-trainable,Splines + classifier,0.8453497237265089
kan,ToN-IoT,CICIDS2018,T3-trainable,Splines + norm + classifier,0.8366913156166577
kan,ToN-IoT,CICIDS2018,T3-trainable,Last KAN layer (incl. base path),0.8417742017301861
kan,ToN-IoT,CICIDS2018,T3-trainable,Norm + classifier + last layer,0.839813882615439
kan,ToN-IoT,CICIDS2018,T4-loss,CE + ent + recon,0.8325038225106874
kan,ToN-IoT,CICIDS2018,T4-loss,CE + ent only,0.8257032202317579
kan,ToN-IoT,CICIDS2018,T4-loss,CE + recon only,0.7781654441345519
kan,ToN-IoT,CICIDS2018,T4-loss,CE only,0.7857085496105185
kan,ToN-IoT,CICIDS2018,T4-loss,ent only (TENT-like),0.2051306319629301
kan,ToN-IoT,UNSW-NB15,T3-trainable,Spline-only,0.8110562437227988
kan,ToN-IoT,UNSW-NB15,T3-trainable,Splines + norm,0.7883876126333917
kan,ToN-IoT,UNSW-NB15,T3-trainable,Splines + classifier,0.8519310423186969
kan,ToN-IoT,UNSW-NB15,T3-trainable,Splines + norm + classifier,0.8450619524081082
kan,ToN-IoT,UNSW-NB15,T3-trainable,Last KAN layer (incl. base path),0.8924170758894948
kan,ToN-IoT,UNSW-NB15,T3-trainable,Norm + classifier + last layer,0.8949398411124134
kan,ToN-IoT,UNSW-NB15,T4-loss,CE + ent + recon,0.7924334115516035
kan,ToN-IoT,UNSW-NB15,T4-loss,CE + ent only,0.7983410024142129
