Architecture,Source,Target,Zero-Shot F1,Few-Shot F1 (spline),Few-Shot F1 (full),CTTA F1 stream (spline),CTTA F1 stream (full),CTTA F1 final (spline),CTTA F1 final (full),CTTA Acc (spline),CTTA Acc (full),Scratch Few-Shot F1,Scratch CTTA F1 stream,Scratch CTTA F1 final,Pretrained TrainAll CTTA F1 final,Src F1 pre,Src F1 after (spline),Src F1 after (full),CTTA F1 final (no AGSA),Src F1 after (no AGSA),Retention Penalty
kan,CICIDS2018,ToN-IoT,0.4393774191789784,0.812528192824951,0.8479665150192633,0.7870815373099657,0.7982504970178926,0.7770695747693855,0.7951244840074603,0.835001500150015,0.8452275227522752,0.8304166291894626,0.8078951114954469,0.8094785979903474,0.8105652077948707,0.9678764630667847,0.4505391553538953,0.5065302862122265,0.7819160223381343,0.3501902446202465,0.00046161655336618423
kan,CICIDS2018,UNSW-NB15,0.012037185927872306,0.5065817887083128,0.846294592336411,0.7424393901524619,0.8575332256862501,0.7883344348975545,0.8612919065180372,0.9752655265526553,0.9862346234623462,0.8955384194473436,0.8980830257751957,0.9031894377688771,0.8854496587968468,0.9678764630667847,0.6631365533691115,0.25959876039797747,0.7931396957123098,0.5706801553608527,0.0006094737909734249
kan,ToN-IoT,CICIDS2018,0.17059221034525127,0.7310274910024839,0.7775525887798688,0.8348973218805242,0.8390422915486729,0.8626461637033478,0.8554553562580517,0.9575937593759376,0.9585038503850385,0.8192860262170344,0.8667653414172755,0.8788279621612954,0.8843366890470472,0.9293524409201949,0.7510837396552124,0.46039641992855224,0.8647633267908533,0.7262058536278,0.0004350449307821691
kan,ToN-IoT,UNSW-NB15,0.027413870795952644,0.6794925414749756,0.8956843253727724,0.8110562437227988,0.8829364274412755,0.9038315097591278,0.9314972302410861,0.981938193819382,0.9884568456845685,0.8639554687824533,0.9068589476193314,0.9072119656924905,0.8895514026171516,0.9293524409201949,0.6557822436174999,0.49516767619912627,0.8940345923049771,0.7002029018797137,0.0006281040841713548
kan,UNSW-NB15,CICIDS2018,0.3106878757248497,0.5991333358085065,0.8020456474161418,0.635406063720118,0.8167825014980287,0.5878962821395151,0.7921205416622927,0.8878757875787578,0.951990199019902,0.8333565902290029,0.8305925748724795,0.8433984385722072,0.8625832638220938,0.9985318407047165,0.4461243284727552,0.022150154733138326,0.6914882031505244,0.7583795309168444,2.0095267245778814e-05
kan,UNSW-NB15,ToN-IoT,0.5323859786868949,0.8150316165088027,0.8110564687422263,0.8028377149065111,0.7924083180159092,0.8390830220199753,0.7768913864788412,0.8493539353935393,0.8414181418141814,0.7444046208245416,0.800315980518887,0.8072779940255272,0.8071021041581086,0.9985318407047165,0.10923255428476711,0.09637602448898983,0.8420348351717634,0.13264923200351972,0.00011602201993810013
cnn,CICIDS2018,ToN-IoT,0.28483208350980344,0.7550514231238437,0.8391544378347296,0.7543814893237072,0.7511230209587427,0.7385553476673926,0.7077770374065766,0.8074207420742074,0.8077307730773078,0.8439932432784697,0.8048775319942368,0.8042917765103758,0.8118415075247769,0.9658923557248611,0.3716885940009409,0.5031981618331988,,,
cnn,CICIDS2018,UNSW-NB15,0.012793050502218226,0.1355187908496732,0.6535335569714299,0.8257512792525761,0.8376405873974756,0.8738493531912291,0.7588900461240887,0.9825972597259726,0.9834693469346935,0.8549704947798457,0.9130767570113634,0.9716310052102471,0.8866171562584564,0.9658923557248611,0.014841119960587897,0.15513522647079286,,,
cnn,ToN-IoT,CICIDS2018,0.26708130735637986,0.5900570233590963,0.7452235416795296,0.7797728399381798,0.8002841546399462,0.8118926605746188,0.8014734755698498,0.9395759575957596,0.9465786578657865,0.7606281406176876,0.8449187877279233,0.8499859814340417,0.849241313720019,0.9239954015780948,0.6384730538922155,0.6004213133697882,,,
cnn,ToN-IoT,UNSW-NB15,0.08837485249343148,0.4345621738049872,0.6323044760313679,0.6714775429530271,0.6697774658191057,0.7407444139203221,0.6840662899737909,0.9680838083808381,0.9665936593659366,0.7650174061180653,0.8703175834248245,0.8777247543171433,0.8853932584269663,0.9239954015780948,0.5230860054685558,0.19037017957020902,,,
cnn,UNSW-NB15,CICIDS2018,0.23641150492582946,0.6424045084533501,0.7370922255064132,0.744878903042502,0.7729032973942633,0.48790055089267687,0.6516277636771761,0.9297749774977497,0.9385948594859486,0.7578340853870184,0.8577865367652318,0.8721656153970564,0.8309644495544257,0.9982565608368508,0.21319146208576373,0.028587725302304356,,,
cnn,UNSW-NB15,ToN-IoT,0.43031607924734,0.8082034261870397,0.8071742748932543,0.7913999303936975,0.7794128869946514,0.8027925262697309,0.7860269938232549,0.8417501750175017,0.8294459445944594,0.8150980782886188,0.7933082816948585,0.813712430663152,0.8073058320273326,0.9982565608368508,0.3493223965763195,0.11011260522575708,,,
tab,CICIDS2018,ToN-IoT,0.5842331439453881,0.7106238670259611,0.7702524330115889,0.7702582989352978,0.7958009434923302,0.7124797464073533,0.7994400391922702,0.8187048704870487,0.8376187618761877,0.813295543383814,0.8066159505899981,0.8077986686518073,0.8061459727333556,0.9682161224851721,0.39139413450590865,0.25696630523493064,,,
tab,CICIDS2018,UNSW-NB15,0.01094045291181001,0.32225912468288753,0.3064045700084566,0.6653200797894631,0.6972292596613986,0.7176207470854152,0.759215503242807,0.96006400640064,0.9698809880988098,0.7792946111530182,0.8660281690140845,0.8692053549919124,0.9672583228300939,0.9682161224851721,0.13804941733958706,0.15703660914145426,,,
tab,ToN-IoT,CICIDS2018,0.16304464381456196,0.3752775374130495,0.3711229000884173,0.46889049414356915,0.7252427485012022,0.5327242311156866,0.7080604721916791,0.838966896689669,0.9201110111011102,0.344051359500184,0.8179535585472315,0.8215643017370831,0.8698895250383034,0.9256202663880909,0.7446417818352129,0.8065643922972576,,,
tab,ToN-IoT,UNSW-NB15,0.04024199096434676,0.3604019493370721,0.5191078174949143,0.26674064386583707,0.7990437692876081,0.27444360278469143,0.8555234380441596,0.888974897489749,0.9768806880688069,0.781574069435399,0.8048745260877415,0.8113724532703942,0.8043284532145131,0.9256202663880909,0.5070960792025033,0.22324974924774324,,,
tab,UNSW-NB15,CICIDS2018,0.25255375349482173,0.35578988610724566,0.29223175562354764,0.5657528273223429,0.6675393596320538,0.729709502481261,0.5581838662160992,0.8765016501650165,0.9060206020602061,0.5079292450798846,0.8367678212782348,0.8337265701753708,0.8540085388994307,0.9982101060167975,0.022740811049651425,0.006727312782431612,,,
tab,UNSW-NB15,ToN-IoT,0.5837684991494937,0.7719610293660712,0.7937361193192091,0.8074194040933833,0.8076049496218572,0.8293283711622303,0.8329017066632288,0.8524182418241825,0.850986098609861,0.8124801213203768,0.7950449137291028,0.8051089504580686,0.8075194297962994,0.9982101060167975,0.10713844887883152,0.10996098093524452,,,
