Architecture,Sequence,Source,Target1,Target2,Variant,Stage,F1 source,F1 target1,F1 target2,Protected frac
kan,CICIDS2018 -> ToN-IoT -> UNSW-NB15,CICIDS2018,ToN-IoT,UNSW-NB15,AGSA per-stage,0: pretrain(CICIDS2018),0.9678764630667847,0.4393774191789784,0.012037185927872306,
kan,CICIDS2018 -> ToN-IoT -> UNSW-NB15,CICIDS2018,ToN-IoT,UNSW-NB15,AGSA per-stage,1: after CTTA ToN-IoT,0.4505391553538953,0.7770695747693855,0.08383064365497404,
kan,CICIDS2018 -> ToN-IoT -> UNSW-NB15,CICIDS2018,ToN-IoT,UNSW-NB15,AGSA per-stage,2: after CTTA UNSW-NB15,0.30618288201505584,0.18716185110737352,0.8236951332286716,
kan,CICIDS2018 -> ToN-IoT -> UNSW-NB15,CICIDS2018,ToN-IoT,UNSW-NB15,no AGSA,0: pretrain(CICIDS2018),0.9678764630667847,0.4393774191789784,0.012037185927872306,
kan,CICIDS2018 -> ToN-IoT -> UNSW-NB15,CICIDS2018,ToN-IoT,UNSW-NB15,no AGSA,1: after CTTA ToN-IoT,0.3501902446202465,0.7819160223381343,0.07466325926514658,
kan,CICIDS2018 -> ToN-IoT -> UNSW-NB15,CICIDS2018,ToN-IoT,UNSW-NB15,no AGSA,2: after CTTA UNSW-NB15,0.16498909257912664,0.1623721124022036,0.838531954568571,
kan,CICIDS2018 -> ToN-IoT -> UNSW-NB15,CICIDS2018,ToN-IoT,UNSW-NB15,"replay, no AGSA",0: pretrain(CICIDS2018),0.9678764630667847,0.4393774191789784,0.012037185927872306,
kan,CICIDS2018 -> ToN-IoT -> UNSW-NB15,CICIDS2018,ToN-IoT,UNSW-NB15,"replay, no AGSA",1: after CTTA ToN-IoT,0.6957873025739553,0.7704940937231793,0.05803214898166516,
kan,CICIDS2018 -> ToN-IoT -> UNSW-NB15,CICIDS2018,ToN-IoT,UNSW-NB15,"replay, no AGSA",2: after CTTA UNSW-NB15,0.8107316716079207,0.7657407069021293,0.4609404787121373,
kan,CICIDS2018 -> ToN-IoT -> UNSW-NB15,CICIDS2018,ToN-IoT,UNSW-NB15,replay + AGSA,0: pretrain(CICIDS2018),0.9678764630667847,0.4393774191789784,0.012037185927872306,
kan,CICIDS2018 -> ToN-IoT -> UNSW-NB15,CICIDS2018,ToN-IoT,UNSW-NB15,replay + AGSA,1: after CTTA ToN-IoT,0.8059135582791479,0.7839695808149789,0.047351275280770704,
kan,CICIDS2018 -> ToN-IoT -> UNSW-NB15,CICIDS2018,ToN-IoT,UNSW-NB15,replay + AGSA,2: after CTTA UNSW-NB15,0.8386664078081152,0.7809594811986047,0.6651055771619393,
kan,CICIDS2018 -> ToN-IoT -> UNSW-NB15,CICIDS2018,ToN-IoT,UNSW-NB15,replay + cumulative AGSA,0: pretrain(CICIDS2018),0.9678764630667847,0.4393774191789784,0.012037185927872306,
kan,CICIDS2018 -> ToN-IoT -> UNSW-NB15,CICIDS2018,ToN-IoT,UNSW-NB15,replay + cumulative AGSA,1: after CTTA ToN-IoT,0.8059135582791479,0.7839695808149789,0.047351275280770704,0.4140625
kan,CICIDS2018 -> ToN-IoT -> UNSW-NB15,CICIDS2018,ToN-IoT,UNSW-NB15,replay + cumulative AGSA,2: after CTTA UNSW-NB15,0.7342821567607609,0.7296311611194868,0.2974687506521149,0.46875
kan,UNSW-NB15 -> ToN-IoT -> CICIDS2018,UNSW-NB15,ToN-IoT,CICIDS2018,AGSA per-stage,0: pretrain(UNSW-NB15),0.9985318407047165,0.5323859786868949,0.3106878757248497,
kan,UNSW-NB15 -> ToN-IoT -> CICIDS2018,UNSW-NB15,ToN-IoT,CICIDS2018,AGSA per-stage,1: after CTTA ToN-IoT,0.10923255428476711,0.8390830220199753,0.21084398537771956,
kan,UNSW-NB15 -> ToN-IoT -> CICIDS2018,UNSW-NB15,ToN-IoT,CICIDS2018,AGSA per-stage,2: after CTTA CICIDS2018,0.1239823760054974,0.7525243594182568,0.7305976442425397,
